model,setting,test,n,accuracy,precision,recall,f1
Llama-3.2-3B,llm_zero,nigerian,150,1.0,1.0,1.0,1.0
Llama-3.2-3B,llm_zero,spamassassin,300,0.8233,0.888,0.74,0.8073
Llama-3.2-3B,llm_zero,trec07,300,0.9267,0.9923,0.86,0.9214
Llama-3.2-3B few-shot,llm_few,ceas08,300,0.8633,0.9504,0.7667,0.8487
Llama-3.2-3B few-shot,llm_few,enron,300,0.8667,0.9825,0.7467,0.8485
Llama-3.2-3B few-shot,llm_few,ephishllm,300,0.64,1.0,0.28,0.4375
Llama-3.2-3B few-shot,llm_few,kaggle,300,0.8967,0.9685,0.82,0.8881
Llama-3.2-3B few-shot,llm_few,ling,300,0.95,1.0,0.9,0.9474
Llama-3.2-3B few-shot,llm_few,nazario,150,0.68,1.0,0.68,0.8095
Llama-3.2-3B few-shot,llm_few,nigerian,150,0.9933,1.0,0.9933,0.9967
Llama-3.2-3B few-shot,llm_few,spamassassin,300,0.9367,0.9226,0.9533,0.9377
Llama-3.2-3B few-shot,llm_few,trec07,300,0.94,1.0,0.88,0.9362
Phi-4-14B,llm_zero,ceas08,300,0.7933,0.7558,0.8667,0.8075
Phi-4-14B,llm_zero,enron,300,0.6467,0.6667,0.5867,0.6241
Phi-4-14B,llm_zero,ephishllm,300,0.8033,0.9789,0.62,0.7592
Phi-4-14B,llm_zero,kaggle,300,0.6333,0.6429,0.6,0.6207
Phi-4-14B,llm_zero,ling,300,0.7767,0.7862,0.76,0.7729
Phi-4-14B,llm_zero,nazario,150,0.66,1.0,0.66,0.7952
Phi-4-14B,llm_zero,nigerian,150,0.5133,1.0,0.5133,0.6784
Phi-4-14B,llm_zero,spamassassin,300,0.74,0.7069,0.82,0.7593
Phi-4-14B,llm_zero,trec07,300,0.78,0.7917,0.76,0.7755
Qwen-2.5-7B,llm_zero,ceas08,300,0.8633,0.9431,0.7733,0.8498
Qwen-2.5-7B,llm_zero,enron,300,0.9267,0.9638,0.8867,0.9236
Qwen-2.5-7B,llm_zero,ephishllm,300,0.8467,1.0,0.6933,0.8189
Qwen-2.5-7B,llm_zero,kaggle,300,0.9233,0.9205,0.9267,0.9236
Qwen-2.5-7B,llm_zero,ling,300,0.9567,1.0,0.9133,0.9547
Qwen-2.5-7B,llm_zero,nazario,150,0.94,1.0,0.94,0.9691
Qwen-2.5-7B,llm_zero,nigerian,150,1.0,1.0,1.0,1.0
Qwen-2.5-7B,llm_zero,spamassassin,300,0.9533,0.9857,0.92,0.9517
Qwen-2.5-7B,llm_zero,trec07,300,0.9667,0.993,0.94,0.9658
Qwen-2.5-7B few-shot,llm_few,ceas08,300,0.8533,0.9015,0.7933,0.844
Qwen-2.5-7B few-shot,llm_few,enron,300,0.9567,1.0,0.9133,0.9547
Qwen-2.5-7B few-shot,llm_few,ephishllm,300,0.7133,1.0,0.4267,0.5981
Qwen-2.5-7B few-shot,llm_few,kaggle,300,0.94,0.9342,0.9467,0.9404
Qwen-2.5-7B few-shot,llm_few,ling,300,0.9667,0.9861,0.9467,0.966
Qwen-2.5-7B few-shot,llm_few,nazario,150,0.8467,1.0,0.8467,0.917
Qwen-2.5-7B few-shot,llm_few,nigerian,150,1.0,1.0,1.0,1.0
Qwen-2.5-7B few-shot,llm_few,spamassassin,300,0.9333,0.8963,0.98,0.9363
Qwen-2.5-7B few-shot,llm_few,trec07,300,0.98,0.9932,0.9667,0.9797
TF-IDF + LogReg,loco_clean,ceas08,300,0.8233,0.888,0.74,0.8073
TF-IDF + LogReg,loco_clean,enron,300,0.9,0.9225,0.8733,0.8973
TF-IDF + LogReg,loco_clean,ephishllm,300,0.6433,0.6463,0.6333,0.6397
TF-IDF + LogReg,loco_clean,kaggle,300,0.9433,0.9182,0.9733,0.945
TF-IDF + LogReg,loco_clean,ling,300,0.9633,0.9484,0.98,0.9639
TF-IDF + LogReg,loco_clean,nazario,150,0.7133,1.0,0.7133,0.8327
TF-IDF + LogReg,loco_clean,nigerian,150,1.0,1.0,1.0,1.0
TF-IDF + LogReg,loco_clean,spamassassin,300,0.9,0.8488,0.9733,0.9068
TF-IDF + LogReg,loco_clean,trec07,300,0.89,0.9149,0.86,0.8866
TF-IDF + LogReg,loco_raw,ceas08,300,0.8233,0.888,0.74,0.8073
TF-IDF + LogReg,loco_raw,enron,300,0.9733,0.9863,0.96,0.973
TF-IDF + LogReg,loco_raw,ephishllm,300,0.6433,0.6463,0.6333,0.6397
TF-IDF + LogReg,loco_raw,kaggle,300,0.99,0.9868,0.9933,0.99
TF-IDF + LogReg,loco_raw,ling,300,0.9933,1.0,0.9867,0.9933
TF-IDF + LogReg,loco_raw,nazario,150,0.7133,1.0,0.7133,0.8327
TF-IDF + LogReg,loco_raw,nigerian,150,1.0,1.0,1.0,1.0
TF-IDF + LogReg,loco_raw,spamassassin,300,0.96,0.9539,0.9667,0.9603
TF-IDF + LogReg,loco_raw,trec07,300,0.89,0.9149,0.86,0.8866
TF-IDF + NB,loco_clean,ceas08,300,0.7967,0.8739,0.6933,0.7732
TF-IDF + NB,loco_clean,enron,300,0.88,0.9597,0.7933,0.8686
TF-IDF + NB,loco_clean,ephishllm,300,0.7033,0.8352,0.5067,0.6307
TF-IDF + NB,loco_clean,kaggle,300,0.9667,0.9667,0.9667,0.9667
TF-IDF + NB,loco_clean,ling,300,0.9767,0.9799,0.9733,0.9766
TF-IDF + NB,loco_clean,nazario,150,0.6,1.0,0.6,0.75
TF-IDF + NB,loco_clean,nigerian,150,0.9867,1.0,0.9867,0.9933
TF-IDF + NB,loco_clean,spamassassin,300,0.93,0.8957,0.9733,0.9329
TF-IDF + NB,loco_clean,trec07,300,0.8567,0.8963,0.8067,0.8491
TF-IDF + NB,loco_raw,ceas08,300,0.7967,0.8739,0.6933,0.7732
TF-IDF + NB,loco_raw,enron,300,0.94,0.9853,0.8933,0.9371
TF-IDF + NB,loco_raw,ephishllm,300,0.7033,0.8352,0.5067,0.6307
TF-IDF + NB,loco_raw,kaggle,300,0.9833,0.9866,0.98,0.9833
TF-IDF + NB,loco_raw,ling,300,0.99,1.0,0.98,0.9899
TF-IDF + NB,loco_raw,nazario,150,0.6,1.0,0.6,0.75
TF-IDF + NB,loco_raw,nigerian,150,0.9867,1.0,0.9867,0.9933
TF-IDF + NB,loco_raw,spamassassin,300,0.9733,0.9797,0.9667,0.9732
TF-IDF + NB,loco_raw,trec07,300,0.8567,0.8963,0.8067,0.8491
