model,setting,test,n,accuracy,precision,recall,f1
Llama-3.1-8B,llm_zero,spamassassin,300,0.88,0.8239,0.9667,0.8896
Llama-3.1-8B,llm_zero,trec07,300,0.93,0.9057,0.96,0.932
Llama-3.2-1B,llm_zero,ceas08,300,0.3933,0.3806,0.34,0.3592
Llama-3.2-1B,llm_zero,enron,300,0.5867,0.5637,0.7667,0.6497
Llama-3.2-1B,llm_zero,ephishllm,300,0.5633,0.596,0.3933,0.4739
Llama-3.2-1B,llm_zero,kaggle,300,0.57,0.5471,0.8133,0.6542
Llama-3.2-1B,llm_zero,ling,300,0.6633,0.6017,0.9667,0.7417
Llama-3.2-1B,llm_zero,nazario,150,0.76,1.0,0.76,0.8636
Llama-3.2-1B,llm_zero,nigerian,150,0.6,1.0,0.6,0.75
Llama-3.2-1B,llm_zero,spamassassin,300,0.6633,0.6161,0.8667,0.7202
Llama-3.2-1B,llm_zero,trec07,300,0.5567,0.5436,0.7067,0.6145
Llama-3.2-3B,llm_zero,ceas08,300,0.86,0.9576,0.7533,0.8433
Llama-3.2-3B,llm_zero,enron,300,0.8133,0.8672,0.74,0.7986
Llama-3.2-3B,llm_zero,ephishllm,300,0.67,1.0,0.34,0.5075
Llama-3.2-3B,llm_zero,ephishllm_de,300,0.7667,1.0,0.5333,0.6957
Llama-3.2-3B,llm_zero,ephishllm_it,300,0.6867,1.0,0.3733,0.5437
Llama-3.2-3B,llm_zero,kaggle,300,0.8833,0.9323,0.8267,0.8763
Llama-3.2-3B,llm_zero,ling,300,0.8733,1.0,0.7467,0.855
Llama-3.2-3B,llm_zero,nazario,150,0.8267,1.0,0.8267,0.9051
Llama-3.2-3B,llm_zero,nigerian,150,1.0,1.0,1.0,1.0
Llama-3.2-3B,llm_zero,spamassassin,300,0.8233,0.888,0.74,0.8073
Llama-3.2-3B,llm_zero,trec07,300,0.9267,0.9923,0.86,0.9214
Llama-3.2-3B few-shot,llm_few,ceas08,300,0.8633,0.9504,0.7667,0.8487
Llama-3.2-3B few-shot,llm_few,enron,300,0.8667,0.9825,0.7467,0.8485
Llama-3.2-3B few-shot,llm_few,ephishllm,300,0.64,1.0,0.28,0.4375
Llama-3.2-3B few-shot,llm_few,kaggle,300,0.8967,0.9685,0.82,0.8881
Llama-3.2-3B few-shot,llm_few,ling,300,0.95,1.0,0.9,0.9474
Llama-3.2-3B few-shot,llm_few,nazario,150,0.68,1.0,0.68,0.8095
Llama-3.2-3B few-shot,llm_few,nigerian,150,0.9933,1.0,0.9933,0.9967
Llama-3.2-3B few-shot,llm_few,spamassassin,300,0.9367,0.9226,0.9533,0.9377
Llama-3.2-3B few-shot,llm_few,trec07,300,0.94,1.0,0.88,0.9362
Llama-3.2-3B few-shot AI,llm_few_ai,ceas08,300,0.84,0.8984,0.7667,0.8273
Llama-3.2-3B few-shot AI,llm_few_ai,enron,300,0.88,0.8608,0.9067,0.8831
Llama-3.2-3B few-shot AI,llm_few_ai,ephishllm,300,0.74,1.0,0.48,0.6486
Llama-3.2-3B few-shot AI,llm_few_ai,kaggle,300,0.9,0.8704,0.94,0.9038
Llama-3.2-3B few-shot AI,llm_few_ai,ling,300,0.9767,0.9799,0.9733,0.9766
Llama-3.2-3B few-shot AI,llm_few_ai,spamassassin,300,0.9033,0.8497,0.98,0.9102
Llama-3.2-3B few-shot AI,llm_few_ai,trec07,300,0.9233,0.9704,0.8733,0.9193
ModernBERT-phishing (published),pretrained,ceas08,300,0.91,0.9624,0.8533,0.9046
ModernBERT-phishing (published),pretrained,enron,300,0.8733,0.9308,0.8067,0.8643
ModernBERT-phishing (published),pretrained,ephishllm,300,0.5033,0.52,0.0867,0.1486
ModernBERT-phishing (published),pretrained,ephishllm_de,300,0.4933,0.4966,0.9867,0.6607
ModernBERT-phishing (published),pretrained,ephishllm_it,300,0.5,0.5,0.9933,0.6652
ModernBERT-phishing (published),pretrained,ephishllm_nolink,300,0.52,0.6,0.12,0.2
ModernBERT-phishing (published),pretrained,kaggle,300,0.91,0.9489,0.8667,0.9059
ModernBERT-phishing (published),pretrained,ling,300,0.94,0.9648,0.9133,0.9384
ModernBERT-phishing (published),pretrained,nazario,150,0.5133,1.0,0.5133,0.6784
ModernBERT-phishing (published),pretrained,spamassassin,300,0.8633,0.9658,0.7533,0.8464
ModernBERT-phishing (published),pretrained,trec07,300,0.9,0.9918,0.8067,0.8897
Phi-4-14B,llm_zero,ceas08,300,0.7933,0.7558,0.8667,0.8075
Phi-4-14B,llm_zero,enron,300,0.6467,0.6667,0.5867,0.6241
Phi-4-14B,llm_zero,ephishllm,300,0.8033,0.9789,0.62,0.7592
Phi-4-14B,llm_zero,kaggle,300,0.6333,0.6429,0.6,0.6207
Phi-4-14B,llm_zero,ling,300,0.7767,0.7862,0.76,0.7729
Phi-4-14B,llm_zero,nazario,150,0.66,1.0,0.66,0.7952
Phi-4-14B,llm_zero,nigerian,150,0.5133,1.0,0.5133,0.6784
Phi-4-14B,llm_zero,spamassassin,300,0.74,0.7069,0.82,0.7593
Phi-4-14B,llm_zero,trec07,300,0.78,0.7917,0.76,0.7755
Phi-4-14B relaxed,llm_long,ceas08,300,0.6733,0.6204,0.8933,0.7322
Phi-4-14B relaxed,llm_long,enron,300,0.6633,0.6195,0.8467,0.7155
Phi-4-14B relaxed,llm_long,ephishllm,300,0.7,0.7,0.7,0.7
Phi-4-14B relaxed,llm_long,ephishllm_de,300,0.64,0.6141,0.7533,0.6766
Phi-4-14B relaxed,llm_long,ephishllm_it,300,0.6333,0.6042,0.7733,0.6784
Phi-4-14B relaxed,llm_long,ephishllm_nolink,300,0.67,0.6735,0.66,0.6667
Phi-4-14B relaxed,llm_long,ephishllm_url,300,0.6667,0.6712,0.6533,0.6622
Phi-4-14B relaxed,llm_long,kaggle,300,0.68,0.6216,0.92,0.7419
Phi-4-14B relaxed,llm_long,ling,300,0.77,0.7098,0.9133,0.7988
Phi-4-14B relaxed,llm_long,nazario,150,0.7733,1.0,0.7733,0.8722
Phi-4-14B relaxed,llm_long,nigerian,150,0.86,1.0,0.86,0.9247
Phi-4-14B relaxed,llm_long,spamassassin,300,0.7367,0.6732,0.92,0.7775
Phi-4-14B relaxed,llm_long,trec07,300,0.7233,0.6701,0.88,0.7608
Phishsense-1B (published),pretrained,ceas08,300,0.85,0.8523,0.8467,0.8495
Phishsense-1B (published),pretrained,enron,300,0.9667,0.9545,0.98,0.9671
Phishsense-1B (published),pretrained,ephishllm,300,0.84,0.8446,0.8333,0.8389
Phishsense-1B (published),pretrained,ephishllm_nolink,300,0.8367,0.8483,0.82,0.8339
Phishsense-1B (published),pretrained,kaggle,300,0.9733,0.9494,1.0,0.974
Phishsense-1B (published),pretrained,ling,300,0.9933,1.0,0.9867,0.9933
Phishsense-1B (published),pretrained,nazario,150,1.0,1.0,1.0,1.0
Phishsense-1B (published),pretrained,spamassassin,300,0.9567,0.9308,0.9867,0.9579
Phishsense-1B (published),pretrained,trec07,300,0.94,0.9074,0.98,0.9423
Qwen-2.5-7B,llm_zero,ceas08,300,0.8633,0.9431,0.7733,0.8498
Qwen-2.5-7B,llm_zero,enron,300,0.9267,0.9638,0.8867,0.9236
Qwen-2.5-7B,llm_zero,ephishllm,300,0.8467,1.0,0.6933,0.8189
Qwen-2.5-7B,llm_zero,ephishllm_de,300,0.8633,1.0,0.7267,0.8417
Qwen-2.5-7B,llm_zero,ephishllm_it,300,0.8067,0.9894,0.62,0.7623
Qwen-2.5-7B,llm_zero,ephishllm_nolink,300,0.8367,1.0,0.6733,0.8048
Qwen-2.5-7B,llm_zero,ephishllm_url,300,0.89,1.0,0.78,0.8764
Qwen-2.5-7B,llm_zero,kaggle,300,0.9233,0.9205,0.9267,0.9236
Qwen-2.5-7B,llm_zero,ling,300,0.9567,1.0,0.9133,0.9547
Qwen-2.5-7B,llm_zero,nazario,150,0.94,1.0,0.94,0.9691
Qwen-2.5-7B,llm_zero,nigerian,150,1.0,1.0,1.0,1.0
Qwen-2.5-7B,llm_zero,spamassassin,300,0.9533,0.9857,0.92,0.9517
Qwen-2.5-7B,llm_zero,trec07,300,0.9667,0.993,0.94,0.9658
Qwen-2.5-7B few-shot,llm_few,ceas08,300,0.8533,0.9015,0.7933,0.844
Qwen-2.5-7B few-shot,llm_few,enron,300,0.9567,1.0,0.9133,0.9547
Qwen-2.5-7B few-shot,llm_few,ephishllm,300,0.7133,1.0,0.4267,0.5981
Qwen-2.5-7B few-shot,llm_few,kaggle,300,0.94,0.9342,0.9467,0.9404
Qwen-2.5-7B few-shot,llm_few,ling,300,0.9667,0.9861,0.9467,0.966
Qwen-2.5-7B few-shot,llm_few,nazario,150,0.8467,1.0,0.8467,0.917
Qwen-2.5-7B few-shot,llm_few,nigerian,150,1.0,1.0,1.0,1.0
Qwen-2.5-7B few-shot,llm_few,spamassassin,300,0.9333,0.8963,0.98,0.9363
Qwen-2.5-7B few-shot,llm_few,trec07,300,0.98,0.9932,0.9667,0.9797
Qwen-2.5-7B few-shot AI,llm_few_ai,ceas08,300,0.8967,0.8696,0.9333,0.9003
Qwen-2.5-7B few-shot AI,llm_few_ai,enron,300,0.9367,0.9517,0.92,0.9356
Qwen-2.5-7B few-shot AI,llm_few_ai,ephishllm,300,0.7833,1.0,0.5667,0.7234
Qwen-2.5-7B few-shot AI,llm_few_ai,kaggle,300,0.9067,0.8588,0.9733,0.9125
Qwen-2.5-7B few-shot AI,llm_few_ai,ling,300,0.97,0.9796,0.96,0.9697
Qwen-2.5-7B few-shot AI,llm_few_ai,spamassassin,300,0.87,0.8066,0.9733,0.8822
Qwen-2.5-7B few-shot AI,llm_few_ai,trec07,300,0.98,0.9737,0.9867,0.9801
Qwen-2.5-7B few-shot mixed,llm_few_mix,ceas08,300,0.92,0.9257,0.9133,0.9195
Qwen-2.5-7B few-shot mixed,llm_few_mix,enron,300,0.95,0.972,0.9267,0.9488
Qwen-2.5-7B few-shot mixed,llm_few_mix,ephishllm,300,0.7533,1.0,0.5067,0.6726
Qwen-2.5-7B few-shot mixed,llm_few_mix,kaggle,300,0.9267,0.9,0.96,0.929
Qwen-2.5-7B few-shot mixed,llm_few_mix,ling,300,0.97,0.993,0.9467,0.9693
Qwen-2.5-7B few-shot mixed,llm_few_mix,spamassassin,300,0.9533,0.9359,0.9733,0.9542
Qwen-2.5-7B few-shot mixed,llm_few_mix,trec07,300,0.9667,0.9861,0.9467,0.966
TF-IDF + LogReg,in_corpus,ceas08,300,0.99,0.9868,0.9933,0.99
TF-IDF + LogReg,in_corpus,enron,300,0.9867,0.9803,0.9933,0.9868
TF-IDF + LogReg,in_corpus,kaggle,300,0.97,0.993,0.9467,0.9693
TF-IDF + LogReg,in_corpus,ling,300,0.9033,1.0,0.8067,0.893
TF-IDF + LogReg,in_corpus,spamassassin,300,0.97,0.9862,0.9533,0.9695
TF-IDF + LogReg,in_corpus,trec07,300,0.9967,0.9934,1.0,0.9967
TF-IDF + LogReg,loco_clean,ceas08,300,0.8233,0.888,0.74,0.8073
TF-IDF + LogReg,loco_clean,enron,300,0.8933,0.9214,0.86,0.8897
TF-IDF + LogReg,loco_clean,ephishllm,300,0.6433,0.6463,0.6333,0.6397
TF-IDF + LogReg,loco_clean,ephishllm_de,300,0.5167,0.5085,0.9933,0.6727
TF-IDF + LogReg,loco_clean,ephishllm_it,300,0.5,0.5,1.0,0.6667
TF-IDF + LogReg,loco_clean,ephishllm_nolink,300,0.64,0.6438,0.6267,0.6351
TF-IDF + LogReg,loco_clean,ephishllm_url,300,0.64,0.6438,0.6267,0.6351
TF-IDF + LogReg,loco_clean,kaggle,300,0.9433,0.9182,0.9733,0.945
TF-IDF + LogReg,loco_clean,ling,300,0.9633,0.9484,0.98,0.9639
TF-IDF + LogReg,loco_clean,nazario,150,0.7133,1.0,0.7133,0.8327
TF-IDF + LogReg,loco_clean,nigerian,150,1.0,1.0,1.0,1.0
TF-IDF + LogReg,loco_clean,spamassassin,300,0.8933,0.8391,0.9733,0.9012
TF-IDF + LogReg,loco_clean,trec07,300,0.89,0.9149,0.86,0.8866
TF-IDF + LogReg,loco_random,ceas08,300,0.8233,0.888,0.74,0.8073
TF-IDF + LogReg,loco_random,enron,300,0.96,0.9726,0.9467,0.9595
TF-IDF + LogReg,loco_random,kaggle,300,0.9833,0.9739,0.9933,0.9835
TF-IDF + LogReg,loco_random,ling,300,0.9933,1.0,0.9867,0.9933
TF-IDF + LogReg,loco_random,nigerian,150,1.0,1.0,1.0,1.0
TF-IDF + LogReg,loco_random,spamassassin,300,0.96,0.9539,0.9667,0.9603
TF-IDF + LogReg,loco_random,trec07,300,0.89,0.9149,0.86,0.8866
TF-IDF + LogReg,loco_raw,ceas08,300,0.8233,0.888,0.74,0.8073
TF-IDF + LogReg,loco_raw,enron,300,0.9733,0.9863,0.96,0.973
TF-IDF + LogReg,loco_raw,ephishllm,300,0.6433,0.6463,0.6333,0.6397
TF-IDF + LogReg,loco_raw,ephishllm_de,300,0.5167,0.5085,0.9933,0.6727
TF-IDF + LogReg,loco_raw,ephishllm_it,300,0.5,0.5,1.0,0.6667
TF-IDF + LogReg,loco_raw,ephishllm_nolink,300,0.64,0.6438,0.6267,0.6351
TF-IDF + LogReg,loco_raw,ephishllm_url,300,0.64,0.6438,0.6267,0.6351
TF-IDF + LogReg,loco_raw,kaggle,300,0.99,0.9868,0.9933,0.99
TF-IDF + LogReg,loco_raw,ling,300,0.9933,1.0,0.9867,0.9933
TF-IDF + LogReg,loco_raw,nazario,150,0.7133,1.0,0.7133,0.8327
TF-IDF + LogReg,loco_raw,nigerian,150,1.0,1.0,1.0,1.0
TF-IDF + LogReg,loco_raw,spamassassin,300,0.96,0.9539,0.9667,0.9603
TF-IDF + LogReg,loco_raw,trec07,300,0.89,0.9149,0.86,0.8866
TF-IDF + NB,in_corpus,ceas08,300,0.9933,0.9933,0.9933,0.9933
TF-IDF + NB,in_corpus,enron,300,0.9833,0.9932,0.9733,0.9832
TF-IDF + NB,in_corpus,kaggle,300,0.9567,1.0,0.9133,0.9547
TF-IDF + NB,in_corpus,ling,300,0.6433,1.0,0.2867,0.4456
TF-IDF + NB,in_corpus,spamassassin,300,0.95,0.9927,0.9067,0.9477
TF-IDF + NB,in_corpus,trec07,300,0.98,0.9932,0.9667,0.9797
TF-IDF + NB,loco_clean,ceas08,300,0.7967,0.8739,0.6933,0.7732
TF-IDF + NB,loco_clean,enron,300,0.88,0.9597,0.7933,0.8686
TF-IDF + NB,loco_clean,ephishllm,300,0.7033,0.8352,0.5067,0.6307
TF-IDF + NB,loco_clean,ephishllm_de,300,0.5067,0.5043,0.7867,0.6146
TF-IDF + NB,loco_clean,ephishllm_it,300,0.5033,0.5018,0.94,0.6543
TF-IDF + NB,loco_clean,ephishllm_nolink,300,0.7033,0.8352,0.5067,0.6307
TF-IDF + NB,loco_clean,ephishllm_url,300,0.6933,0.8295,0.4867,0.6134
TF-IDF + NB,loco_clean,kaggle,300,0.9633,0.9664,0.96,0.9632
TF-IDF + NB,loco_clean,ling,300,0.9767,0.9799,0.9733,0.9766
TF-IDF + NB,loco_clean,nazario,150,0.6,1.0,0.6,0.75
TF-IDF + NB,loco_clean,nigerian,150,0.9867,1.0,0.9867,0.9933
TF-IDF + NB,loco_clean,spamassassin,300,0.93,0.8957,0.9733,0.9329
TF-IDF + NB,loco_clean,trec07,300,0.8567,0.8963,0.8067,0.8491
TF-IDF + NB,loco_random,ceas08,300,0.7967,0.8739,0.6933,0.7732
TF-IDF + NB,loco_random,enron,300,0.9367,0.9852,0.8867,0.9333
TF-IDF + NB,loco_random,kaggle,300,0.98,0.98,0.98,0.98
TF-IDF + NB,loco_random,ling,300,0.99,1.0,0.98,0.9899
TF-IDF + NB,loco_random,nigerian,150,0.9867,1.0,0.9867,0.9933
TF-IDF + NB,loco_random,spamassassin,300,0.97,0.9796,0.96,0.9697
TF-IDF + NB,loco_random,trec07,300,0.8567,0.8963,0.8067,0.8491
TF-IDF + NB,loco_raw,ceas08,300,0.7967,0.8739,0.6933,0.7732
TF-IDF + NB,loco_raw,enron,300,0.94,0.9853,0.8933,0.9371
TF-IDF + NB,loco_raw,ephishllm,300,0.7033,0.8352,0.5067,0.6307
TF-IDF + NB,loco_raw,ephishllm_de,300,0.5067,0.5043,0.7867,0.6146
TF-IDF + NB,loco_raw,ephishllm_it,300,0.5033,0.5018,0.94,0.6543
TF-IDF + NB,loco_raw,ephishllm_nolink,300,0.7033,0.8352,0.5067,0.6307
TF-IDF + NB,loco_raw,ephishllm_url,300,0.6933,0.8295,0.4867,0.6134
TF-IDF + NB,loco_raw,kaggle,300,0.9833,0.9866,0.98,0.9833
TF-IDF + NB,loco_raw,ling,300,0.99,1.0,0.98,0.9899
TF-IDF + NB,loco_raw,nazario,150,0.6,1.0,0.6,0.75
TF-IDF + NB,loco_raw,nigerian,150,0.9867,1.0,0.9867,0.9933
TF-IDF + NB,loco_raw,spamassassin,300,0.9733,0.9797,0.9667,0.9732
TF-IDF + NB,loco_raw,trec07,300,0.8567,0.8963,0.8067,0.8491
