model,setting,test,train_size,removed,accuracy,precision,recall,f1,cpu_sec_per_1000
naive_bayes,loco_clean,ling,44343,1460,0.9787,0.9026,0.9716,0.9359,0.376
naive_bayes,loco_random,ling,44343,1460,0.9941,0.9889,0.9738,0.9813,0.388
naive_bayes,loco_raw,enron,38661,0,0.9583,0.9774,0.9326,0.9545,0.177
naive_bayes,loco_clean,enron,32290,6371,0.9085,0.9465,0.8531,0.8974,0.18
naive_bayes,loco_random,enron,32290,6371,0.9573,0.978,0.9298,0.9533,0.176
naive_bayes,loco_raw,kaggle,38661,0,0.9756,0.9773,0.9568,0.967,0.227
naive_bayes,loco_clean,kaggle,27455,11206,0.9588,0.9506,0.9384,0.9444,0.221
naive_bayes,loco_random,kaggle,27455,11206,0.9742,0.9767,0.9536,0.965,0.229
naive_bayes,loco_raw,nazario,48661,0,0.6499,1.0,0.6499,0.7878,0.141
naive_bayes,loco_raw,nigerian,48661,0,0.9897,1.0,0.9897,0.9948,0.348
naive_bayes,loco_raw,ephishllm,48661,0,0.705,0.8768,0.5051,0.6409,0.084
naive_bayes,loco_raw,ephishllm_it,48661,0,0.4369,0.4217,0.9293,0.5802,0.066
naive_bayes,loco_raw,ephishllm_de,48661,0,0.4951,0.4706,0.8087,0.5949,0.067
naive_bayes,loco_raw,ephishllm_nolink,48661,0,0.7033,0.8352,0.5067,0.6307,0.089
naive_bayes,loco_raw,ephishllm_url,48661,0,0.6933,0.8295,0.4867,0.6134,0.097
naive_bayes,loco_clean,nazario,48661,0,0.6499,1.0,0.6499,0.7878,0.139
naive_bayes,loco_clean,nigerian,48574,87,0.9891,1.0,0.9891,0.9945,0.355
naive_bayes,loco_clean,ephishllm,48661,0,0.705,0.8768,0.5051,0.6409,0.076
naive_bayes,loco_clean,ephishllm_it,48661,0,0.4369,0.4217,0.9293,0.5802,0.065
naive_bayes,loco_clean,ephishllm_de,48661,0,0.4951,0.4706,0.8087,0.5949,0.067
naive_bayes,loco_clean,ephishllm_nolink,48661,0,0.7033,0.8352,0.5067,0.6307,0.09
naive_bayes,loco_clean,ephishllm_url,48661,0,0.6933,0.8295,0.4867,0.6134,0.091
naive_bayes,loco_random,nigerian,48574,87,0.9897,1.0,0.9897,0.9948,0.346
