id,best_jaccard,brute_force_duplicate,pipeline_said_duplicate
spamassassin:full4888,0.127,False,False
spamassassin:full3030,0.998,True,True
spamassassin:full5669,1.0,True,True
spamassassin:full4067,0.044,False,False
spamassassin:full1875,0.875,True,True
spamassassin:full4326,1.0,True,True
spamassassin:full5219,0.034,False,False
spamassassin:full4167,0.281,False,False
spamassassin:full5609,0.044,False,False
spamassassin:full5487,1.0,True,True
spamassassin:full3970,0.303,False,False
spamassassin:full628,0.993,True,True
spamassassin:full4735,0.332,False,False
spamassassin:full4202,0.283,False,False
spamassassin:full5532,1.0,True,True
spamassassin:full4020,0.366,False,False
spamassassin:full1157,0.388,False,False
spamassassin:full4315,0.997,True,True
spamassassin:full4953,0.034,False,False
spamassassin:full5117,0.441,False,False
spamassassin:full3569,0.999,True,True
spamassassin:full5543,0.997,True,True
spamassassin:full4165,0.043,False,False
spamassassin:full5585,1.0,True,True
spamassassin:full2056,1.0,True,True
spamassassin:full3046,0.997,True,True
spamassassin:full3872,0.503,False,False
spamassassin:full3981,1.0,True,True
spamassassin:full5470,1.0,True,True
spamassassin:full4963,1.0,True,True
spamassassin:full4311,0.029,False,False
spamassassin:full4916,0.99,True,True
spamassassin:full383,0.481,False,False
spamassassin:full4316,1.0,True,True
spamassassin:full4900,0.985,True,True
spamassassin:full4334,0.151,False,False
spamassassin:full5145,0.43,False,False
spamassassin:full183,1.0,True,True
spamassassin:full5150,0.975,True,True
spamassassin:full3239,0.333,False,False
spamassassin:full4292,0.919,True,True
spamassassin:full5319,1.0,True,True
spamassassin:full4974,1.0,True,True
spamassassin:full5674,0.986,True,True
spamassassin:full1545,1.0,True,True
spamassassin:full5792,0.725,False,False
spamassassin:full700,0.645,False,False
spamassassin:full2065,0.728,False,False
spamassassin:full4733,0.351,False,False
spamassassin:full2291,1.0,True,True
spamassassin:full4969,0.573,False,False
spamassassin:full4685,1.0,True,True
spamassassin:full3202,0.078,False,False
spamassassin:full4473,1.0,True,True
spamassassin:full4091,0.997,True,True
spamassassin:full4840,1.0,True,True
spamassassin:full2789,1.0,True,True
spamassassin:full5162,1.0,True,True
spamassassin:full4222,1.0,True,True
spamassassin:full3633,1.0,True,True
spamassassin:full5511,0.216,False,False
spamassassin:full4254,0.026,False,False
spamassassin:full5461,0.166,False,False
spamassassin:full3200,0.079,False,False
spamassassin:full4340,0.692,False,False
spamassassin:full4112,0.023,False,False
spamassassin:full5417,1.0,True,True
spamassassin:full4194,1.0,True,True
spamassassin:full4560,0.992,True,True
spamassassin:full2818,1.0,True,True
spamassassin:full5786,0.78,False,False
spamassassin:full574,0.091,False,False
spamassassin:full1392,0.073,False,False
spamassassin:full2377,0.929,True,True
spamassassin:full4111,0.03,False,False
spamassassin:full943,0.224,False,False
spamassassin:full5216,0.015,False,False
spamassassin:full970,0.161,False,False
spamassassin:full1265,1.0,True,True
spamassassin:full1498,0.998,True,True
spamassassin:full4201,0.939,True,True
spamassassin:full5661,0.206,False,False
spamassassin:full2809,1.0,True,True
spamassassin:full4808,1.0,True,True
spamassassin:full5681,1.0,True,True
spamassassin:full1551,1.0,True,True
spamassassin:full1127,0.068,False,False
spamassassin:full4667,1.0,True,True
spamassassin:full1463,0.058,False,False
spamassassin:full5533,1.0,True,True
spamassassin:full1242,1.0,True,True
spamassassin:full3953,0.29,False,False
spamassassin:full5785,0.023,False,False
spamassassin:full4841,0.575,False,False
spamassassin:full4204,0.283,False,False
spamassassin:full3590,1.0,True,True
spamassassin:full4749,0.061,False,False
spamassassin:full1132,0.053,False,False
spamassassin:full5389,1.0,True,True
spamassassin:full4978,0.977,True,True
spamassassin:full5211,1.0,True,True
spamassassin:full3491,0.016,False,False
spamassassin:full4418,1.0,True,True
spamassassin:full3897,0.285,False,False
spamassassin:full3867,0.049,False,False
spamassassin:full4964,0.955,True,True
spamassassin:full5295,0.899,True,True
spamassassin:full4266,0.047,False,False
spamassassin:full3766,0.218,False,False
spamassassin:full3053,0.998,True,True
spamassassin:full162,1.0,True,True
spamassassin:full1615,0.999,True,True
spamassassin:full376,0.995,True,True
spamassassin:full5236,1.0,True,True
spamassassin:full4744,0.059,False,False
spamassassin:full4831,1.0,True,True
spamassassin:full4543,1.0,True,True
spamassassin:full5218,0.201,False,False
spamassassin:full1040,0.414,False,False
spamassassin:full3914,0.316,False,False
spamassassin:full4616,0.864,True,True
spamassassin:full1504,0.059,False,False
spamassassin:full5556,0.987,True,True
spamassassin:full5485,0.706,False,False
spamassassin:full539,0.997,True,True
spamassassin:full5005,1.0,True,True
spamassassin:full5708,1.0,True,True
spamassassin:full3960,0.507,False,False
spamassassin:full5159,0.825,True,True
spamassassin:full4359,0.154,False,False
spamassassin:full5053,0.263,False,False
spamassassin:full3635,1.0,True,True
spamassassin:full1151,1.0,True,True
spamassassin:full3871,0.191,False,False
spamassassin:full3993,0.127,False,False
spamassassin:full3148,0.073,False,False
spamassassin:full4213,0.31,False,False
spamassassin:full588,1.0,True,True
spamassassin:full3764,0.997,True,True
spamassassin:full5761,1.0,True,True
spamassassin:full5088,0.173,False,False
spamassassin:full3518,1.0,True,True
spamassassin:full2660,1.0,True,True
spamassassin:full4279,0.026,False,False
spamassassin:full2572,1.0,True,True
spamassassin:full2066,0.816,True,True
spamassassin:full3889,0.377,False,False
spamassassin:full1274,1.0,True,True
spamassassin:full895,0.994,True,True
spamassassin:full4913,0.994,True,True
spamassassin:full4698,0.021,False,False
spamassassin:full4682,1.0,True,True
spamassassin:full3888,0.288,False,False
spamassassin:full4860,1.0,True,True
spamassassin:full449,0.996,True,True
spamassassin:full4977,0.986,True,True
spamassassin:full3951,0.921,True,True
spamassassin:full211,0.999,True,True
spamassassin:full4673,0.963,True,True
spamassassin:full5232,0.825,True,True
spamassassin:full5644,0.09,False,False
spamassassin:full3019,1.0,True,True
spamassassin:full640,1.0,True,True
spamassassin:full4837,1.0,True,True
spamassassin:full1858,0.733,False,False
spamassassin:full856,1.0,True,True
spamassassin:full1001,0.998,True,True
spamassassin:full1708,1.0,True,True
spamassassin:full3760,0.996,True,True
spamassassin:full5142,0.19,False,False
spamassassin:full4622,1.0,True,True
spamassassin:full299,1.0,True,True
spamassassin:full4569,0.886,True,True
spamassassin:full5237,0.049,False,False
spamassassin:full3483,0.998,True,True
spamassassin:full3954,0.731,False,False
spamassassin:full5620,0.026,False,False
spamassassin:full4788,0.927,True,True
spamassassin:full4995,1.0,True,True
spamassassin:full4857,0.508,False,False
spamassassin:full5090,0.072,False,False
spamassassin:full2497,1.0,True,True
spamassassin:full5190,1.0,True,True
spamassassin:full5749,1.0,True,True
spamassassin:full1067,0.998,True,True
spamassassin:full5559,1.0,True,True
spamassassin:full5696,0.199,False,False
spamassassin:full4382,0.031,False,False
spamassassin:full3909,0.768,False,False
spamassassin:full2264,1.0,True,True
spamassassin:full3983,0.3,False,False
spamassassin:full5748,0.623,False,False
spamassassin:full1076,1.0,True,True
spamassassin:full1571,0.999,True,True
spamassassin:full5525,1.0,True,True
spamassassin:full351,0.996,True,True
spamassassin:full1348,0.107,False,False
spamassassin:full2483,0.218,False,False
spamassassin:full410,1.0,True,True
spamassassin:full853,1.0,True,True
spamassassin:full4490,0.042,False,False
spamassassin:full4910,0.719,False,False
spamassassin:full3400,0.995,True,True
spamassassin:full5449,0.825,True,True
spamassassin:full3116,0.997,True,True
spamassassin:full2964,1.0,True,True
spamassassin:full264,1.0,True,True
spamassassin:full4144,1.0,True,True
spamassassin:full4504,1.0,True,True
spamassassin:full4308,0.18,False,False
spamassassin:full436,1.0,True,True
spamassassin:full5671,0.044,False,False
spamassassin:full4942,0.083,False,False
spamassassin:full3155,0.408,False,False
spamassassin:full2534,0.997,True,True
spamassassin:full3082,1.0,True,True
spamassassin:full5766,0.041,False,False
spamassassin:full4077,1.0,True,True
spamassassin:full185,1.0,True,True
spamassassin:full5619,1.0,True,True
spamassassin:full5705,1.0,True,True
spamassassin:full5126,0.37,False,False
spamassassin:full4480,1.0,True,True
spamassassin:full2806,1.0,True,True
spamassassin:full4169,0.034,False,False
spamassassin:full5588,1.0,True,True
spamassassin:full5172,0.808,True,True
spamassassin:full2778,1.0,True,True
spamassassin:full5179,0.047,False,False
spamassassin:full263,1.0,True,True
spamassassin:full4457,0.127,False,False
spamassassin:full883,1.0,True,True
spamassassin:full3036,0.081,False,False
spamassassin:full4533,0.277,False,False
spamassassin:full5684,0.975,True,True
spamassassin:full3173,0.035,False,False
spamassassin:full3563,0.99,True,True
spamassassin:full4355,0.042,False,False
spamassassin:full2170,0.805,True,True
spamassassin:full3073,0.996,True,True
spamassassin:full4049,0.008,False,False
spamassassin:full5040,0.178,False,False
spamassassin:full3470,1.0,True,True
spamassassin:full4825,0.708,False,False
spamassassin:full939,0.482,False,False
spamassassin:full4250,0.968,True,True
spamassassin:full4573,0.964,True,True
spamassassin:full2687,0.998,True,True
spamassassin:full4198,1.0,True,True
spamassassin:full5428,1.0,True,True
spamassassin:full4380,0.108,False,False
spamassassin:full5221,1.0,True,True
spamassassin:full5703,0.195,False,False
spamassassin:full5699,0.042,False,False
spamassassin:full4864,0.907,True,True
spamassassin:full4602,1.0,True,True
spamassassin:full2788,1.0,True,True
spamassassin:full4282,1.0,True,True
spamassassin:full5233,0.054,False,False
spamassassin:full634,1.0,True,True
spamassassin:full2953,0.992,True,True
spamassassin:full4655,0.225,False,False
spamassassin:full2917,0.995,True,True
spamassassin:full4287,0.034,False,False
spamassassin:full2067,1.0,True,True
spamassassin:full2591,1.0,True,True
spamassassin:full2209,0.852,True,True
spamassassin:full961,0.428,False,False
spamassassin:full3048,0.996,True,True
spamassassin:full4758,1.0,True,True
spamassassin:full5395,0.768,False,False
spamassassin:full1605,0.031,False,False
spamassassin:full4679,1.0,True,True
spamassassin:full1331,0.069,False,False
spamassassin:full3926,0.504,False,False
spamassassin:full385,0.079,False,False
spamassassin:full4259,0.154,False,False
spamassassin:full4779,1.0,True,True
spamassassin:full4141,1.0,True,True
spamassassin:full3015,0.999,True,True
spamassassin:full2542,1.0,True,True
spamassassin:full4938,0.922,True,True
spamassassin:full2479,0.112,False,False
spamassassin:full4272,0.199,False,False
spamassassin:full4937,1.0,True,True
spamassassin:full2294,1.0,True,True
spamassassin:full5269,0.182,False,False
spamassassin:full3876,0.439,False,False
spamassassin:full4209,1.0,True,True
spamassassin:full4742,1.0,True,True
spamassassin:full5121,0.925,True,True
spamassassin:full5185,1.0,True,True
spamassassin:full5306,0.693,False,False
spamassassin:full4658,1.0,True,True
spamassassin:full5158,1.0,True,True
spamassassin:full3021,1.0,True,True
spamassassin:full3641,1.0,True,True
spamassassin:full3503,0.031,False,False
spamassassin:full4056,1.0,True,True
spamassassin:full1301,1.0,True,True
spamassassin:full4164,1.0,True,True
spamassassin:full1163,0.345,False,False
spamassassin:full5799,0.197,False,False
spamassassin:full4793,0.023,False,False
spamassassin:full5743,1.0,True,True
spamassassin:full5510,0.905,True,True
spamassassin:full2965,0.99,True,True
spamassassin:full2207,1.0,True,True
spamassassin:full4867,1.0,True,True
spamassassin:full4180,0.03,False,False
spamassassin:full4945,0.944,True,True
spamassassin:full2640,1.0,True,True
spamassassin:full5452,0.917,True,True
spamassassin:full402,1.0,True,True
spamassassin:full5574,0.025,False,False
spamassassin:full1289,0.062,False,False
spamassassin:full302,0.995,True,True
spamassassin:full5071,1.0,True,True
spamassassin:full2744,1.0,True,True
spamassassin:full4951,1.0,True,True
spamassassin:full1745,0.991,True,True
spamassassin:full4851,1.0,True,True
spamassassin:full5438,1.0,True,True
spamassassin:full3512,0.991,True,True
spamassassin:full2530,1.0,True,True
spamassassin:full4132,1.0,True,True
spamassassin:full5354,0.316,False,False
spamassassin:full5278,0.277,False,False
spamassassin:full5396,0.972,True,True
spamassassin:full3032,0.242,False,False
spamassassin:full5361,0.614,False,False
spamassassin:full5664,1.0,True,True
spamassassin:full5253,0.651,False,False
spamassassin:full5763,0.826,True,True
spamassassin:full5710,0.027,False,False
spamassassin:full5241,0.27,False,False
spamassassin:full2418,1.0,True,True
spamassassin:full4647,0.683,False,False
