id,source,label,model,verdict,reason,pred,cost_usd,grounded,supports,judge_answer
ephishllm:1135,ephishllm,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be an internal business communication for a scheduled meeting.,0,2.52e-05,1.0,1.0,grounded supports
ephishllm:8438,ephishllm,1,qwen/qwen-2.5-7b-instruct,legitimate,the email requests a legitimate work-related action and uses a professional tone.,0,1.95e-05,0.0,0.0,ungrounded contradicts
ling:1397,ling,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a legitimate academic workshop announcement.,0,3.87e-05,1.0,1.0,grounded supports
ling:2288,ling,1,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a promotional travel offer and does not contain typical phishing or scam elements.,0,8.47e-05,1.0,0.0,grounded contradicts
trec07:8495,trec07,1,qwen/qwen-2.5-7b-instruct,phishing,"the email contains a suspicious link and offers an unrealistic loan amount, which is common in phishing scams.",1,2.21e-05,1.0,1.0,grounded supports
ling:2656,ling,1,qwen/qwen-2.5-7b-instruct,phishing,the email promotes a suspicious product and contains诱导性的内容和不安全的链接。,1,4.74e-05,1.0,1.0,grounded supports
ephishllm:3722,ephishllm,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a professional feedback message from a senior director to an employee.,0,2.83e-05,1.0,1.0,grounded supports
ephishllm:4597,ephishllm,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a professional communication with constructive feedback and suggestions for improvement.,0,2.9e-05,1.0,1.0,grounded supports
enron:3303,enron,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a business communication about scheduling meetings and does not contain any suspicious elements.,0,6.12e-05,1.0,1.0,grounded supports
ephishllm:3657,ephishllm,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be an internal company communication about a trade show event.,0,3.24e-05,1.0,1.0,grounded supports
trec07:3935,trec07,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a news alert from cnn with clear branding and contact information.,0,3.55e-05,1.0,1.0,grounded supports
ephishllm:838,ephishllm,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a genuine collaboration request from a food blogger.,0,2.42e-05,1.0,1.0,grounded supports
ling:2821,ling,1,qwen/qwen-2.5-7b-instruct,phishing,the email contains a suspicious url and is likely an attempt to trick the recipient into visiting a malicious site.,1,3.02e-05,1.0,1.0,grounded supports
spamassassin:3863,spamassassin,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a newsletter from cnet download.com with product recommendations and download information.,0,5.18e-05,1.0,1.0,grounded supports
enron:4269,enron,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a personal update and does not contain any malicious content or suspicious links.,0,3.18e-05,1.0,1.0,grounded supports
kaggle:5494,kaggle,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a description of an academic book and does not contain any suspicious elements.,0,5.3e-05,1.0,1.0,grounded supports
ephishllm:6959,ephishllm,1,qwen/qwen-2.5-7b-instruct,phishing,"the email requests immediate verification through a link, which is a common tactic used in phishing scams.",1,1.83e-05,1.0,1.0,grounded supports
ephishllm:8748,ephishllm,1,qwen/qwen-2.5-7b-instruct,phishing,"the email contains a link that asks for credential verification, which is a common tactic used in phishing scams.",1,2.31e-05,1.0,1.0,grounded supports
enron:5626,enron,1,qwen/qwen-2.5-7b-instruct,phishing,"the email contains suspicious links and misspellings, indicating it is likely a scam.",1,2.57e-05,1.0,1.0,grounded supports
ephishllm:764,ephishllm,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be an internal corporate communication about strategic decisions and does not contain any suspicious elements.,0,2.75e-05,1.0,1.0,grounded supports
kaggle:6730,kaggle,1,qwen/qwen-2.5-7b-instruct,phishing,the email contains suspicious links and appears to be spam.,1,2.53e-05,1.0,1.0,grounded supports
ephishllm:429,ephishllm,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be an internal company communication about a scheduled meeting and does not contain any suspicious elements.,0,3.22e-05,1.0,1.0,grounded supports
ceas08:9862,ceas08,1,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a legitimate cnn newsletter with links to video content.,0,6.72e-05,1.0,1.0,grounded supports
ling:1821,ling,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a genuine inquiry from a student about language courses.,0,1.97e-05,1.0,1.0,grounded supports
trec07:5613,trec07,1,qwen/qwen-2.5-7b-instruct,phishing,"the email contains a suspicious url and is promoting an unknown pharmacy, which is a common tactic for phishing.",1,2.72e-05,1.0,1.0,grounded supports
ling:2647,ling,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a scholarly discussion about language and does not contain typical indicators of phishing or scam.,0,4.49e-05,1.0,1.0,grounded supports
enron:9928,enron,1,qwen/qwen-2.5-7b-instruct,phishing,the email contains suspicious links and is promoting illegal drug sales without a prescription.,1,2.93e-05,1.0,1.0,grounded supports
ceas08:2798,ceas08,0,qwen/qwen-2.5-7b-instruct,legitimate,the email discusses technical issues related to perl module testing and does not contain any suspicious elements.,0,4.89e-05,1.0,1.0,grounded supports
ephishllm:5821,ephishllm,1,qwen/qwen-2.5-7b-instruct,phishing,"the email contains a time-sensitive request to click on a link for account verification, which is a common tactic used in phishing scams.",1,2.42e-05,1.0,1.0,grounded supports
ephishllm:4810,ephishllm,1,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be from a project manager and contains a relevant message about project documentation.,0,2.14e-05,1.0,1.0,grounded supports
ephishllm:7029,ephishllm,1,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be from a team and requests an update for work-related documents.,0,1.76e-05,0.0,1.0,ungrounded supports
spamassassin:2244,spamassassin,0,qwen/qwen-2.5-7b-instruct,legitimate,the email and url are from 2002 and the content appears to be an old news article.,0,2.1e-05,1.0,1.0,grounded supports
ling:227,ling,1,qwen/qwen-2.5-7b-instruct,phishing,"the email contains suspicious links and requests for personal information, indicating a potential scam.",1,4.64e-05,0.0,0.0,ungrounded contradicts
ephishllm:4403,ephishllm,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a normal internal communication request for input on an upcoming meeting.,0,1.96e-05,1.0,1.0,grounded supports
enron:1425,enron,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a routine business communication with clear context and contact information.,0,2.96e-05,1.0,1.0,grounded supports
spamassassin:4865,spamassassin,1,qwen/qwen-2.5-7b-instruct,phishing,the email contains explicit content and a suspicious unsubscribe link.,1,3.69e-05,1.0,1.0,grounded supports
kaggle:8955,kaggle,1,qwen/qwen-2.5-7b-instruct,phishing,the email contains a suspicious link and attempts to诱骗用户提供个人信息。,1,2.33e-05,1.0,1.0,grounded supports
ceas08:3921,ceas08,0,qwen/qwen-2.5-7b-instruct,legitimate,the email is a notification about active topics in a mailing list and does not contain suspicious elements.,0,4.79e-05,1.0,1.0,grounded supports
ling:908,ling,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a summary of a linguistic inquiry and does not contain any malicious content.,0,4.61e-05,1.0,1.0,grounded supports
kaggle:2611,kaggle,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a casual conversation and the unsubscribe link is formatted like typical mailing list instructions.,0,2.25e-05,1.0,1.0,grounded supports
ephishllm:9912,ephishllm,1,qwen/qwen-2.5-7b-instruct,phishing,"the email contains a link that requires immediate action, which is a common tactic used in phishing scams.",1,1.83e-05,1.0,1.0,grounded supports
trec07:4548,trec07,1,qwen/qwen-2.5-7b-instruct,phishing,the content is nonsensical and appears to be spam or phishing.,1,4.82e-05,1.0,1.0,grounded supports
ephishllm:5288,ephishllm,1,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be from a legitimate company and requests a necessary update for security.,0,2.05e-05,0.0,0.0,ungrounded contradicts
trec07:9991,trec07,1,qwen/qwen-2.5-7b-instruct,phishing,the email contains testimonials and claims about a weight loss product that are too good to be true and lack credible sources.,1,4.78e-05,1.0,0.0,grounded contradicts
spamassassin:366,spamassassin,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a continuation of a technical discussion about i/o features in different operating systems.,0,5.11e-05,1.0,1.0,grounded supports
spamassassin:1395,spamassassin,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a legitimate request for information about using razor with sendmail from a user on a mailing list.,0,3.83e-05,1.0,1.0,grounded supports
ephishllm:8759,ephishllm,1,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a request for feedback on a tool for research purposes.,0,1.56e-05,1.0,1.0,grounded supports
ephishllm:2348,ephishllm,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a professional communication about a scheduled meeting and does not contain any suspicious elements.,0,2.87e-05,1.0,1.0,grounded supports
ceas08:2646,ceas08,0,qwen/qwen-2.5-7b-instruct,legitimate,"the email appears to be a normal, non-malicious communication about operating system upgrades.",0,3.06e-05,1.0,1.0,grounded supports
ephishllm:5440,ephishllm,1,qwen/qwen-2.5-7b-instruct,legitimate,"the email appears to come from a company's ceo and requests compliance with new procedures, which is a common practice.",0,2.3e-05,1.0,1.0,grounded supports
enron:7905,enron,1,qwen/qwen-2.5-7b-instruct,phishing,the email contains suspicious links and offers that are too good to be true.,1,1.66e-05,1.0,1.0,grounded supports
ephishllm:3583,ephishllm,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a routine meeting invitation with clear details and no suspicious elements.,0,2.41e-05,1.0,1.0,grounded supports
trec07:6707,trec07,1,qwen/qwen-2.5-7b-instruct,phishing,the email is a classic example of a business email compromise (bec) scam.,1,4.14e-05,1.0,1.0,grounded supports
spamassassin:5350,spamassassin,1,qwen/qwen-2.5-7b-instruct,phishing,"the email contains suspicious links and images from unknown ip addresses, and it uses a free cell phone offer as a scam tactic.",1,7.02e-05,1.0,1.0,grounded supports
ephishllm:3123,ephishllm,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be an internal company communication about a workshop with clear details and no suspicious links or requests.,0,2.28e-05,1.0,1.0,grounded supports
kaggle:3063,kaggle,0,qwen/qwen-2.5-7b-instruct,legitimate,"the email appears to be a routine business communication about terminating involvement with a company, not a malicious attempt.",0,1.83e-05,1.0,1.0,grounded supports
ephishllm:33,ephishllm,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a professional inquiry about sustainable brewing solutions and does not contain any suspicious elements.,0,2.16e-05,1.0,1.0,grounded supports
kaggle:7469,kaggle,1,qwen/qwen-2.5-7b-instruct,phishing,the email contains suspicious links and an unfamiliar sender name.,1,2.14e-05,1.0,1.0,grounded supports
ephishllm:534,ephishllm,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a routine project reminder from a manager to team members.,0,2.72e-05,1.0,1.0,grounded supports
trec07:538,trec07,0,qwen/qwen-2.5-7b-instruct,legitimate,"the email appears to be a request for help with statistical analysis using r, not malicious or spam.",0,4.43e-05,1.0,1.0,grounded supports
ephishllm:9153,ephishllm,1,qwen/qwen-2.5-7b-instruct,phishing,"the email requests verification through a link, which is a common tactic used in phishing attempts.",1,1.85e-05,1.0,1.0,grounded supports
ephishllm:964,ephishllm,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a routine business communication with clear and professional content.,0,2.65e-05,1.0,1.0,grounded supports
ephishllm:5698,ephishllm,1,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a normal work-related communication requesting feedback on a project document.,0,1.94e-05,1.0,1.0,grounded supports
ephishllm:5027,ephishllm,1,qwen/qwen-2.5-7b-instruct,legitimate,the email requests information for a work-related task and comes from an official project lead.,0,1.95e-05,0.0,0.0,ungrounded contradicts
trec07:429,trec07,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a request for assistance with r programming and data analysis.,0,5.22e-05,1.0,1.0,grounded supports
trec07:1162,trec07,0,qwen/qwen-2.5-7b-instruct,legitimate,the email provides stock quote information and includes standard unsubscribe and preference update links.,0,3.4e-05,1.0,1.0,grounded supports
ephishllm:670,ephishllm,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a genuine inquiry about the company's products.,0,1.84e-05,1.0,1.0,grounded supports
ephishllm:1027,ephishllm,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a standard business communication with no signs of phishing or scam.,0,2.51e-05,0.0,1.0,ungrounded supports
spamassassin:4868,spamassassin,1,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a marketing message for an annuity product and does not contain typical indicators of phishing or scam.,0,6.01e-05,1.0,1.0,grounded supports
kaggle:9515,kaggle,1,qwen/qwen-2.5-7b-instruct,phishing,"the email contains suspicious phone numbers, email address, and offers that are too good to be true.",1,2.58e-05,1.0,1.0,grounded supports
ephishllm:6647,ephishllm,1,qwen/qwen-2.5-7b-instruct,phishing,the email contains a link that should be verified before clicking.,1,1.79e-05,1.0,1.0,grounded supports
ceas08:6460,ceas08,1,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be promotional content for software products and does not contain suspicious elements.,0,4.69e-05,0.0,0.0,ungrounded contradicts
ephishllm:6997,ephishllm,1,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a normal work-related communication.,0,1.59e-05,0.0,1.0,ungrounded supports
ephishllm:2899,ephishllm,0,qwen/qwen-2.5-7b-instruct,legitimate,"the email provides constructive feedback and is from a senior team member, indicating it is a professional communication.",0,2.62e-05,1.0,1.0,grounded supports
ceas08:9136,ceas08,1,qwen/qwen-2.5-7b-instruct,phishing,"the email contains suspicious links and misspellings, indicating it is likely a scam.",1,3.28e-05,1.0,1.0,grounded supports
ceas08:2093,ceas08,0,qwen/qwen-2.5-7b-instruct,phishing,the email contains a forwarded message with an unfamiliar sender and a suspicious url.,1,2e-05,1.0,1.0,grounded supports
trec07:1126,trec07,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a discussion about copyright and licensing and does not contain any suspicious elements.,0,5.14e-05,1.0,1.0,grounded supports
ling:2659,ling,1,qwen/qwen-2.5-7b-instruct,phishing,"the email contains adult content and a suspicious link, indicating it is likely phishing.",1,1.96e-05,1.0,1.0,grounded supports
ling:1980,ling,0,qwen/qwen-2.5-7b-instruct,legitimate,"the email appears to be a commentary on political figures and their voting records, not a phishing or scam attempt.",0,4.48e-05,1.0,1.0,grounded supports
ephishllm:1261,ephishllm,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a professional business inquiry and does not contain any suspicious elements.,0,2.41e-05,1.0,1.0,grounded supports
spamassassin:5080,spamassassin,1,qwen/qwen-2.5-7b-instruct,phishing,the email promotes suspicious software and contains misleading information about its capabilities.,1,4.76e-05,1.0,1.0,grounded supports
ceas08:4593,ceas08,1,qwen/qwen-2.5-7b-instruct,spam,the email contains a suspicious link and seems to be promoting an unverified product or service.,1,1.37e-05,1.0,1.0,grounded supports
ephishllm:179,ephishllm,0,qwen/qwen-2.5-7b-instruct,legitimate,the email provides specific details about scheduled maintenance and is from an operations manager.,0,2.03e-05,1.0,1.0,grounded supports
enron:7595,enron,1,google/gemma-3-12b-it,phishing,"the email promotes a male enhancement product with dubious claims and includes a suspicious link, alongside irrelevant text snippets, which are common tactics in phishing attempts.",1,2.335e-05,1.0,1.0,grounded supports
enron:5872,enron,1,google/gemma-3-12b-it,spam,the nonsensical text and unusual formatting strongly suggest this is a spam email attempting to appear as a delivery failure notice.,1,1.5e-05,1.0,1.0,grounded supports
ephishllm:1756,ephishllm,0,google/gemma-3-12b-it,legitimate,"the email discusses a project with a plausible subject and includes a reasonable request for review, fitting a typical business communication.",0,1.685e-05,1.0,1.0,grounded supports
spamassassin:2111,spamassassin,0,google/gemma-3-12b-it,phishing,"the outdated date (2002) and suspicious url (""newsisfree.com"") suggest a potentially malicious attempt to lure users to a compromised or fake website.",1,1.38e-05,1.0,1.0,grounded supports
ephishllm:8220,ephishllm,1,google/gemma-3-12b-it,phishing,the vague request for financial details and emphasis on confidentiality are common tactics used in phishing attempts.,1,1.14e-05,1.0,1.0,grounded supports
kaggle:8956,kaggle,1,google/gemma-3-12b-it,phishing,"the email uses urgent language, promises unrealistically low interest rates, and contains a suspicious link with unusual characters, all hallmarks of a phishing attempt.",1,1.355e-05,1.0,1.0,grounded supports
spamassassin:5118,spamassassin,1,google/gemma-3-12b-it,spam,"the excessive use of ""click here"" links and the admission of purchasing email lists suggest this is an unsolicited commercial email.",1,2.535e-05,1.0,1.0,grounded supports
ephishllm:5066,ephishllm,1,google/gemma-3-12b-it,phishing,"the unsolicited offer of software via a suspicious link, combined with a generic greeting and vague company details, suggests a phishing attempt.",1,1.59e-05,1.0,1.0,grounded supports
ceas08:4216,ceas08,0,google/gemma-3-12b-it,legitimate,"the email appears to be a discussion within a user group about a software project (py2exe), indicating a genuine technical exchange.",0,1.125e-05,1.0,1.0,grounded supports
ephishllm:5413,ephishllm,1,google/gemma-3-12b-it,phishing,"the email uses alarming language and a suspicious link to pressure users into revealing login credentials, a common tactic in phishing attacks.",1,1.16e-05,1.0,1.0,grounded supports
ephishllm:5931,ephishllm,1,google/gemma-3-12b-it,phishing,"the email requests urgent action and a funds transfer from an authority figure, a common tactic in business email compromise phishing attacks.",1,1.305e-05,1.0,1.0,grounded supports
ceas08:5464,ceas08,1,google/gemma-3-12b-it,phishing,the subject line and link suggest a deceptive attempt to lure users to a potentially malicious website with sexually suggestive content.,1,9e-06,1.0,1.0,grounded supports
kaggle:6047,kaggle,0,google/gemma-3-12b-it,legitimate,"the email appears to be a promotional announcement for a newly published academic book from a known publisher (john benjamins publishing), detailing its content and providing pricing information.",0,2.6e-05,1.0,1.0,grounded supports
kaggle:511,kaggle,0,google/gemma-3-12b-it,spam,the unusual formatting and repetitive punctuation suggest a spam attempt to verify an email address.,1,7.75e-06,1.0,1.0,grounded supports
ephishllm:7742,ephishllm,1,google/gemma-3-12b-it,phishing,"the email requests an urgent, large wire transfer and uses a generic greeting, which are common tactics in phishing attempts.",1,1.15e-05,1.0,1.0,grounded supports
enron:5198,enron,0,google/gemma-3-12b-it,legitimate,"the email discusses a specific financial topic (""dual trigger option portfolio"") and requests feedback, suggesting a work-related communication.",0,1.03e-05,1.0,1.0,grounded supports
enron:3909,enron,0,google/gemma-3-12b-it,legitimate,"the email discusses a speaker series and travel arrangements, referencing internal contacts and time zones consistent with business communication.",0,1.76e-05,1.0,1.0,grounded supports
ephishllm:1135,ephishllm,0,google/gemma-3-12b-it,legitimate,"the email discusses a stakeholder meeting related to sustainability, a common topic for businesses, and is signed by a ceo, suggesting a genuine internal communication.",0,1.64e-05,1.0,1.0,grounded supports
ephishllm:8438,ephishllm,1,google/gemma-3-12b-it,phishing,requesting login credentials via email is a common tactic used in phishing attacks to steal sensitive information.,1,1.17e-05,1.0,1.0,grounded supports
ling:1397,ling,0,google/gemma-3-12b-it,legitimate,the email promotes a historical academic workshop and contains details consistent with a conference announcement from 1998.,0,2.18e-05,1.0,1.0,grounded supports
ling:2288,ling,1,google/gemma-3-12b-it,phishing,"the email uses generic greetings, unrealistic pricing, and a suspicious phone number, all hallmarks of a phishing attempt.",1,4.405e-05,0.0,0.0,ungrounded contradicts
trec07:8495,trec07,1,google/gemma-3-12b-it,phishing,the suspicious link and unsolicited loan offer are hallmarks of a phishing scam attempting to steal personal information.,1,1.295e-05,1.0,1.0,grounded supports
ling:2656,ling,1,google/gemma-3-12b-it,phishing,"the email promotes software offering unauthorized aol services and requests payment information, which is a common tactic in phishing scams.",1,2.59e-05,1.0,1.0,grounded supports
ephishllm:3722,ephishllm,0,google/gemma-3-12b-it,legitimate,"the email discusses project milestones and offers constructive feedback, aligning with a typical professional communication scenario and providing a verifiable sender email address.",0,1.71e-05,1.0,1.0,grounded supports
ephishllm:4597,ephishllm,0,google/gemma-3-12b-it,legitimate,"the email discusses a work-related topic (client feedback and engagement strategy) and proposes a meeting, which aligns with a typical professional communication.",0,1.79e-05,1.0,1.0,grounded supports
enron:3303,enron,0,google/gemma-3-12b-it,legitimate,"the email appears to be an internal communication regarding scheduling and logistics within a company (enron), with multiple recipients and a clear chain of discussion.",0,3.34e-05,1.0,1.0,grounded supports
ephishllm:3657,ephishllm,0,google/gemma-3-12b-it,legitimate,"the email discusses a company event and volunteer opportunities, which aligns with typical hr communications.",0,1.81e-05,1.0,1.0,grounded supports
trec07:3935,trec07,0,google/gemma-3-12b-it,legitimate,"the email appears to be a genuine cnn alert with a relevant news story, clear unsubscribe options, and a standard cnn footer.",0,2.085e-05,1.0,1.0,grounded supports
ephishllm:838,ephishllm,0,google/gemma-3-12b-it,legitimate,the request for samples for review is a common and reasonable practice for food bloggers.,0,1.335e-05,1.0,1.0,grounded supports
ling:2821,ling,1,google/gemma-3-12b-it,phishing,the email offers unusual incentives and contains a suspicious link to an unfamiliar ip address.,1,1.585e-05,1.0,1.0,grounded supports
spamassassin:3863,spamassassin,0,google/gemma-3-12b-it,phishing,"the email is dated 2002 but uses a modern url shortener (""clickthru.online.com""), suggesting a malicious attempt to disguise a phishing link.",1,3e-05,0.0,0.0,ungrounded contradicts
enron:4269,enron,0,google/gemma-3-12b-it,legitimate,the email appears to be a personal anecdote from someone named david sharing a golf experience with a friend.,0,1.73e-05,1.0,1.0,grounded supports
kaggle:5494,kaggle,0,google/gemma-3-12b-it,spam,"the email is a promotional advertisement for an academic book, likely sent unsolicited.",1,2.62e-05,1.0,1.0,grounded supports
ephishllm:6959,ephishllm,1,google/gemma-3-12b-it,phishing,"the email requests urgent action and uses a generic greeting, prompting you to click a suspicious link to verify credentials, which is a common phishing tactic.",1,1.225e-05,1.0,1.0,grounded supports
ephishllm:8748,ephishllm,1,google/gemma-3-12b-it,phishing,"the email requests urgent action and directs the recipient to an external link to verify credentials, a common tactic in phishing attempts.",1,1.385e-05,1.0,1.0,grounded supports
enron:5626,enron,1,google/gemma-3-12b-it,phishing,"the email contains numerous grammatical errors, nonsensical phrases, and suspicious claims of extreme discounts, all hallmarks of a phishing attempt.",1,1.53e-05,1.0,1.0,grounded supports
ephishllm:764,ephishllm,0,google/gemma-3-12b-it,legitimate,the email discusses business strategy and appears consistent with communication from a ceo regarding board decisions.,0,1.48e-05,1.0,1.0,grounded supports
kaggle:6730,kaggle,1,google/gemma-3-12b-it,phishing,"the email uses suspicious urls (""spyzonetown.com"") and manipulative language to entice users to download software, indicating a phishing attempt.",1,1.545e-05,1.0,1.0,grounded supports
ephishllm:429,ephishllm,0,google/gemma-3-12b-it,legitimate,"the email discusses a work-related meeting with listed participants and a clear agenda, aligning with typical internal communications.",0,1.76e-05,1.0,1.0,grounded supports
ceas08:9862,ceas08,1,google/gemma-3-12b-it,spam,"the email's dated format, generic links, and sensationalized headlines are characteristic of spam.",1,3.775e-05,1.0,1.0,grounded supports
ling:1821,ling,0,google/gemma-3-12b-it,legitimate,the email appears to be a genuine inquiry from a student at a known university (pomona college) seeking information about japanese language courses.,0,1.27e-05,1.0,1.0,grounded supports
trec07:5613,trec07,1,google/gemma-3-12b-it,phishing,"the email promotes a specific pharmacy (usdrugs) and contains a suspicious link, characteristic of phishing attempts.",1,1.56e-05,1.0,1.0,grounded supports
ling:2647,ling,0,google/gemma-3-12b-it,legitimate,"the email appears to be a scholarly discussion about linguistics and middle english pronouns, likely sent to a relevant mailing list.",0,2.395e-05,1.0,1.0,grounded supports
enron:9928,enron,1,google/gemma-3-12b-it,phishing,"the email promotes prescription drugs without a prescription and contains suspicious, nonsensical text, indicating a likely scam.",1,1.64e-05,1.0,1.0,grounded supports
ceas08:2798,ceas08,0,google/gemma-3-12b-it,legitimate,"this is a request for help from a perl module maintainer regarding a bug, with links to relevant discussion forums.",0,2.905e-05,0.0,0.0,ungrounded contradicts
ephishllm:5821,ephishllm,1,google/gemma-3-12b-it,phishing,"the email uses scare tactics about a data breach and requests verification through a link, a common phishing tactic.",1,1.335e-05,1.0,1.0,grounded supports
ephishllm:4810,ephishllm,1,google/gemma-3-12b-it,phishing,the email lacks context and contains a suspicious link requesting access to project documentation without a clear explanation.,1,1.265e-05,1.0,1.0,grounded supports
ephishllm:7029,ephishllm,1,google/gemma-3-12b-it,phishing,"the generic greeting, vague document description, and suspicious link are hallmarks of a phishing attempt.",1,1.045e-05,1.0,1.0,grounded supports
spamassassin:2244,spamassassin,0,google/gemma-3-12b-it,spam,"the unusual language, outdated date, and suspicious url suggest this is unsolicited and likely spam.",1,1.155e-05,0.0,0.0,ungrounded contradicts
ling:227,ling,1,google/gemma-3-12b-it,phishing,"the email promises an illegal device (cable tv descrambler) and requests payment and postage for components, a common tactic in scams.",1,2.585e-05,0.0,0.0,ungrounded contradicts
ephishllm:4403,ephishllm,0,google/gemma-3-12b-it,legitimate,"the email has a standard, professional tone and requests input on a routine team meeting, lacking suspicious elements.",0,1.19e-05,1.0,1.0,grounded supports
