id,source,annotator,kind,answer,cost_usd
spamassassin:4473,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00012
spamassassin:4169,spamassassin,google/gemini-3.1-flash-lite,phishing,ph,0.00012175
spamassassin:5027,spamassassin,google/gemini-3.1-flash-lite,spam,spam,8e-05
spamassassin:4907,spamassassin,google/gemini-3.1-flash-lite,spam,spam,7.75e-05
spamassassin:4553,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.0003245
spamassassin:4422,spamassassin,google/gemini-3.1-flash-lite,phishing,ph,0.00014475
spamassassin:5012,spamassassin,google/gemini-3.1-flash-lite,spam,spam,3.375e-05
spamassassin:5781,spamassassin,google/gemini-3.1-flash-lite,phishing,ph,0.0001345
spamassassin:5503,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.000165
spamassassin:4848,spamassassin,google/gemini-3.1-flash-lite,phishing,ph,0.00011075
spamassassin:4520,spamassassin,google/gemini-3.1-flash-lite,phishing,ph,0.0001145
spamassassin:5509,spamassassin,google/gemini-3.1-flash-lite,spam,spam,7.625e-05
spamassassin:5628,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00012025
spamassassin:4617,spamassassin,google/gemini-3.1-flash-lite,spam,spam,8.95e-05
spamassassin:5362,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00012275
spamassassin:4792,spamassassin,google/gemini-3.1-flash-lite,phishing,ph,0.00011125
spamassassin:5791,spamassassin,google/gemini-3.1-flash-lite,spam,spam,9.25e-05
spamassassin:4389,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.000157
spamassassin:4276,spamassassin,google/gemini-3.1-flash-lite,spam,spam,5.6e-05
spamassassin:4869,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00013975
spamassassin:4433,spamassassin,google/gemini-3.1-flash-lite,spam,spam,6.1e-05
spamassassin:5169,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00012325
spamassassin:5410,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.0001085
spamassassin:5740,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00013225
spamassassin:5677,spamassassin,google/gemini-3.1-flash-lite,phishing,ph,0.000129
spamassassin:4673,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00011125
spamassassin:5597,spamassassin,google/gemini-3.1-flash-lite,phishing,ph,6e-05
spamassassin:4541,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.0001115
spamassassin:4505,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00010075
spamassassin:5751,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.0001125
spamassassin:4279,spamassassin,google/gemini-3.1-flash-lite,phishing,ph,0.00011725
spamassassin:5300,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00021725
spamassassin:4140,spamassassin,google/gemini-3.1-flash-lite,spam,spam,6.8e-05
spamassassin:5057,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.0001345
spamassassin:5667,spamassassin,google/gemini-3.1-flash-lite,spam,spam,9.6e-05
spamassassin:5325,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.000136
spamassassin:4964,spamassassin,google/gemini-3.1-flash-lite,spam,spam,8.125e-05
spamassassin:4680,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.0001095
spamassassin:4950,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.0001155
spamassassin:4569,spamassassin,google/gemini-3.1-flash-lite,spam,spam,7e-05
spamassassin:4226,spamassassin,google/gemini-3.1-flash-lite,spam,spam,4.6e-05
spamassassin:5743,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00010675
spamassassin:5144,spamassassin,google/gemini-3.1-flash-lite,phishing,ph,0.00013425
spamassassin:5001,spamassassin,google/gemini-3.1-flash-lite,spam,spam,9.9e-05
spamassassin:5326,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.0001
spamassassin:4773,spamassassin,google/gemini-3.1-flash-lite,phishing,ph,0.00012175
spamassassin:4827,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00011575
spamassassin:4407,spamassassin,google/gemini-3.1-flash-lite,phishing,ph,0.00012675
spamassassin:5769,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.0001685
spamassassin:4570,spamassassin,google/gemini-3.1-flash-lite,spam,spam,6.45e-05
spamassassin:5350,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.000179
spamassassin:5689,spamassassin,google/gemini-3.1-flash-lite,phishing,ph,5.425e-05
spamassassin:4768,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.000107
spamassassin:4868,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.0001535
spamassassin:4161,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00026425
spamassassin:5080,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.0001245
spamassassin:4160,spamassassin,google/gemini-3.1-flash-lite,spam,spam,7.35e-05
spamassassin:5629,spamassassin,google/gemini-3.1-flash-lite,spam,spam,8.525e-05
spamassassin:4555,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00013275
spamassassin:4362,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00010625
spamassassin:4415,spamassassin,google/gemini-3.1-flash-lite,spam,spam,9.125e-05
spamassassin:5615,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.000137
spamassassin:4784,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00013975
spamassassin:5360,spamassassin,google/gemini-3.1-flash-lite,phishing,ph,0.00011175
spamassassin:4156,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00011325
spamassassin:5683,spamassassin,google/gemini-3.1-flash-lite,spam,spam,9.8e-05
spamassassin:4803,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.0003335
spamassassin:5684,spamassassin,google/gemini-3.1-flash-lite,spam,spam,9.5e-05
spamassassin:5427,spamassassin,google/gemini-3.1-flash-lite,phishing,ph,0.00012225
spamassassin:4562,spamassassin,google/gemini-3.1-flash-lite,spam,spam,6.4e-05
spamassassin:5386,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00012225
spamassassin:4342,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.000117
spamassassin:5059,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.000112
spamassassin:4120,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.000107
spamassassin:4485,spamassassin,google/gemini-3.1-flash-lite,spam,spam,9.675e-05
spamassassin:4970,spamassassin,google/gemini-3.1-flash-lite,spam,spam,9.625e-05
spamassassin:4345,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00010275
spamassassin:5079,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00010975
spamassassin:4705,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.0001625
spamassassin:4121,spamassassin,google/gemini-3.1-flash-lite,phishing,ph,0.00013625
spamassassin:5180,spamassassin,google/gemini-3.1-flash-lite,spam,spam,8.95e-05
spamassassin:4206,spamassassin,google/gemini-3.1-flash-lite,spam,spam,8.775e-05
spamassassin:5708,spamassassin,google/gemini-3.1-flash-lite,spam,spam,3.075e-05
spamassassin:4458,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.000109
spamassassin:4711,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00017725
spamassassin:4572,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.0001265
spamassassin:4586,spamassassin,google/gemini-3.1-flash-lite,spam,spam,7.95e-05
spamassassin:5763,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.0001765
spamassassin:4190,spamassassin,google/gemini-3.1-flash-lite,spam,spam,3.775e-05
spamassassin:5208,spamassassin,google/gemini-3.1-flash-lite,spam,spam,9.525e-05
spamassassin:5323,spamassassin,google/gemini-3.1-flash-lite,phishing,ph,0.0001065
spamassassin:4338,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00012875
spamassassin:4544,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00011475
spamassassin:5640,spamassassin,google/gemini-3.1-flash-lite,spam,spam,6.45e-05
spamassassin:4264,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00014825
spamassassin:4865,spamassassin,google/gemini-3.1-flash-lite,phishing,ph,9.525e-05
spamassassin:4955,spamassassin,google/gemini-3.1-flash-lite,phishing,ph,8.025e-05
spamassassin:4700,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.000279
spamassassin:4897,spamassassin,google/gemini-3.1-flash-lite,spam,spam,7.75e-05
spamassassin:5727,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00014525
spamassassin:4923,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00018975
spamassassin:5076,spamassassin,google/gemini-3.1-flash-lite,spam,spam,7.475e-05
spamassassin:4802,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.000152
spamassassin:5785,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00027975
spamassassin:5425,spamassassin,google/gemini-3.1-flash-lite,spam,spam,3.225e-05
spamassassin:4516,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00012625
spamassassin:4123,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.000236
spamassassin:5331,spamassassin,google/gemini-3.1-flash-lite,spam,spam,9.475e-05
spamassassin:5250,spamassassin,google/gemini-3.1-flash-lite,spam,spam,6.675e-05
spamassassin:5344,spamassassin,google/gemini-3.1-flash-lite,phishing,ph,0.00010925
spamassassin:5064,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00010575
spamassassin:5021,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00014175
spamassassin:4577,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00012575
spamassassin:4871,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00011275
spamassassin:4294,spamassassin,google/gemini-3.1-flash-lite,phishing,ph,0.00011025
spamassassin:4679,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.000138
spamassassin:4135,spamassassin,google/gemini-3.1-flash-lite,spam,spam,6.5e-05
spamassassin:4651,spamassassin,google/gemini-3.1-flash-lite,spam,spam,9.175e-05
spamassassin:4621,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00012125
spamassassin:5023,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.0001195
spamassassin:5474,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00012725
spamassassin:4150,spamassassin,google/gemini-3.1-flash-lite,spam,spam,7.75e-05
spamassassin:4530,spamassassin,google/gemini-3.1-flash-lite,phishing,ph,0.0001275
spamassassin:4330,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.0001245
spamassassin:5098,spamassassin,google/gemini-3.1-flash-lite,spam,spam,5.575e-05
spamassassin:4388,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00033725
spamassassin:5724,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.0001035
ceas08:8116,ceas08,google/gemini-3.1-flash-lite,spam,spam,4.625e-05
ceas08:7953,ceas08,google/gemini-3.1-flash-lite,spam,spam,6.45e-05
ceas08:5150,ceas08,google/gemini-3.1-flash-lite,spam,spam,0.00018375
ceas08:7796,ceas08,google/gemini-3.1-flash-lite,spam,spam,6.45e-05
ceas08:4894,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.35e-05
ceas08:9838,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.35e-05
ceas08:8788,ceas08,google/gemini-3.1-flash-lite,spam,spam,4.2e-05
ceas08:8667,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.7e-05
ceas08:9868,ceas08,google/gemini-3.1-flash-lite,spam,spam,5.65e-05
ceas08:9735,ceas08,google/gemini-3.1-flash-lite,spam,spam,0.0001785
ceas08:6658,ceas08,google/gemini-3.1-flash-lite,spam,spam,5.775e-05
ceas08:7999,ceas08,google/gemini-3.1-flash-lite,spam,spam,4.125e-05
ceas08:8805,ceas08,google/gemini-3.1-flash-lite,spam,spam,4.8e-05
ceas08:7742,ceas08,google/gemini-3.1-flash-lite,phishing,ph,5.65e-05
ceas08:9321,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.8e-05
ceas08:4722,ceas08,google/gemini-3.1-flash-lite,spam,spam,6.375e-05
ceas08:4879,ceas08,google/gemini-3.1-flash-lite,spam,spam,4.425e-05
ceas08:9306,ceas08,google/gemini-3.1-flash-lite,spam,spam,4.725e-05
ceas08:6460,ceas08,google/gemini-3.1-flash-lite,spam,spam,0.00011775
ceas08:8713,ceas08,google/gemini-3.1-flash-lite,spam,spam,4.425e-05
ceas08:5031,ceas08,google/gemini-3.1-flash-lite,spam,spam,6.475e-05
ceas08:6041,ceas08,google/gemini-3.1-flash-lite,spam,spam,2.975e-05
ceas08:9595,ceas08,google/gemini-3.1-flash-lite,spam,spam,0.0001785
ceas08:9081,ceas08,google/gemini-3.1-flash-lite,spam,spam,6.45e-05
ceas08:7180,ceas08,google/gemini-3.1-flash-lite,spam,spam,5.6e-05
ceas08:7153,ceas08,google/gemini-3.1-flash-lite,spam,spam,4.275e-05
ceas08:8721,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.725e-05
ceas08:8319,ceas08,google/gemini-3.1-flash-lite,spam,spam,5.65e-05
ceas08:6985,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.9e-05
ceas08:5156,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.325e-05
ceas08:4759,ceas08,google/gemini-3.1-flash-lite,spam,spam,4.175e-05
ceas08:7235,ceas08,google/gemini-3.1-flash-lite,spam,spam,4.6e-05
ceas08:4716,ceas08,google/gemini-3.1-flash-lite,phishing,ph,5e-05
ceas08:9464,ceas08,google/gemini-3.1-flash-lite,phishing,ph,4.9e-05
ceas08:5173,ceas08,google/gemini-3.1-flash-lite,phishing,ph,4.525e-05
ceas08:5333,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.925e-05
ceas08:7506,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.425e-05
ceas08:5589,ceas08,google/gemini-3.1-flash-lite,spam,spam,4.25e-05
ceas08:9016,ceas08,google/gemini-3.1-flash-lite,spam,spam,4e-05
ceas08:5523,ceas08,google/gemini-3.1-flash-lite,spam,spam,6.45e-05
ceas08:8978,ceas08,google/gemini-3.1-flash-lite,phishing,ph,4.175e-05
ceas08:5451,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.35e-05
ceas08:6120,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.575e-05
ceas08:9221,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.7e-05
ceas08:7814,ceas08,google/gemini-3.1-flash-lite,spam,spam,0.0001815
ceas08:9456,ceas08,google/gemini-3.1-flash-lite,spam,spam,0.00018375
ceas08:6942,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.125e-05
ceas08:6043,ceas08,google/gemini-3.1-flash-lite,phishing,ph,9.225e-05
ceas08:5107,ceas08,google/gemini-3.1-flash-lite,spam,spam,0.0001785
ceas08:7966,ceas08,google/gemini-3.1-flash-lite,spam,spam,5.65e-05
ceas08:6208,ceas08,google/gemini-3.1-flash-lite,spam,spam,4.1e-05
ceas08:9802,ceas08,google/gemini-3.1-flash-lite,spam,spam,4.225e-05
ceas08:8158,ceas08,google/gemini-3.1-flash-lite,phishing,ph,3.175e-05
ceas08:4723,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.4e-05
ceas08:8513,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.475e-05
ceas08:5520,ceas08,google/gemini-3.1-flash-lite,phishing,ph,3.425e-05
ceas08:7516,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.95e-05
ceas08:4449,ceas08,google/gemini-3.1-flash-lite,phishing,ph,5.375e-05
ceas08:6735,ceas08,google/gemini-3.1-flash-lite,spam,spam,0.0001815
ceas08:8793,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.325e-05
ceas08:8096,ceas08,google/gemini-3.1-flash-lite,phishing,ph,4.075e-05
ceas08:6158,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.35e-05
ceas08:7745,ceas08,google/gemini-3.1-flash-lite,spam,spam,4.275e-05
ceas08:8207,ceas08,google/gemini-3.1-flash-lite,spam,spam,5.45e-05
ceas08:7695,ceas08,google/gemini-3.1-flash-lite,phishing,ph,5e-05
ceas08:5235,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.075e-05
ceas08:9665,ceas08,google/gemini-3.1-flash-lite,spam,spam,4.025e-05
ceas08:5970,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.8e-05
ceas08:4964,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.625e-05
ceas08:5625,ceas08,google/gemini-3.1-flash-lite,spam,spam,5.25e-05
ceas08:4956,ceas08,google/gemini-3.1-flash-lite,spam,spam,0.00018375
ceas08:8072,ceas08,google/gemini-3.1-flash-lite,phishing,ph,7.4e-05
ceas08:4505,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.125e-05
ceas08:5464,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.25e-05
ceas08:4848,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.125e-05
ceas08:7830,ceas08,google/gemini-3.1-flash-lite,spam,spam,5.6e-05
ceas08:4593,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.175e-05
ceas08:8807,ceas08,google/gemini-3.1-flash-lite,spam,spam,0.00018375
ceas08:9136,ceas08,google/gemini-3.1-flash-lite,phishing,ph,8.025e-05
ceas08:9683,ceas08,google/gemini-3.1-flash-lite,spam,spam,5.425e-05
ceas08:7500,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.6e-05
ceas08:8489,ceas08,google/gemini-3.1-flash-lite,spam,spam,0.0001785
ceas08:6006,ceas08,google/gemini-3.1-flash-lite,spam,spam,0.0001815
ceas08:6755,ceas08,google/gemini-3.1-flash-lite,phishing,ph,4.625e-05
ceas08:9635,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.725e-05
ceas08:5837,ceas08,google/gemini-3.1-flash-lite,phishing,ph,5.875e-05
ceas08:7533,ceas08,google/gemini-3.1-flash-lite,spam,spam,4.85e-05
ceas08:5352,ceas08,google/gemini-3.1-flash-lite,spam,spam,4.7e-05
ceas08:9759,ceas08,google/gemini-3.1-flash-lite,phishing,ph,6.6e-05
ceas08:5687,ceas08,google/gemini-3.1-flash-lite,spam,spam,0.0001815
ceas08:4434,ceas08,google/gemini-3.1-flash-lite,spam,spam,4.1e-05
ceas08:8588,ceas08,google/gemini-3.1-flash-lite,spam,spam,6.4e-05
ceas08:8692,ceas08,google/gemini-3.1-flash-lite,spam,spam,4.2e-05
ceas08:7154,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.775e-05
ceas08:5965,ceas08,google/gemini-3.1-flash-lite,spam,spam,4e-05
ceas08:5863,ceas08,google/gemini-3.1-flash-lite,spam,spam,5.275e-05
ceas08:8743,ceas08,google/gemini-3.1-flash-lite,spam,spam,4.65e-05
ceas08:4750,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.475e-05
ceas08:6890,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.85e-05
ceas08:9201,ceas08,google/gemini-3.1-flash-lite,spam,spam,5.725e-05
ceas08:9194,ceas08,google/gemini-3.1-flash-lite,spam,spam,0.0001785
ceas08:5893,ceas08,google/gemini-3.1-flash-lite,spam,spam,4.525e-05
ceas08:5547,ceas08,google/gemini-3.1-flash-lite,spam,spam,5.6e-05
ceas08:8759,ceas08,google/gemini-3.1-flash-lite,phishing,ph,3.275e-05
ceas08:8200,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.6e-05
ceas08:7096,ceas08,google/gemini-3.1-flash-lite,spam,spam,4.5e-05
ceas08:6996,ceas08,google/gemini-3.1-flash-lite,spam,spam,4.45e-05
ceas08:4459,ceas08,google/gemini-3.1-flash-lite,spam,spam,4.45e-05
ceas08:6685,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.425e-05
ceas08:6239,ceas08,google/gemini-3.1-flash-lite,spam,spam,4.025e-05
ceas08:6636,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.6e-05
ceas08:8421,ceas08,google/gemini-3.1-flash-lite,spam,spam,4.75e-05
ceas08:9244,ceas08,google/gemini-3.1-flash-lite,spam,spam,0.00018375
ceas08:5959,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.95e-05
ceas08:8528,ceas08,google/gemini-3.1-flash-lite,spam,spam,6.5e-05
ceas08:8722,ceas08,google/gemini-3.1-flash-lite,spam,spam,5.225e-05
ceas08:5458,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.3e-05
ceas08:8965,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.925e-05
ceas08:9862,ceas08,google/gemini-3.1-flash-lite,spam,spam,0.0001785
ceas08:6815,ceas08,google/gemini-3.1-flash-lite,spam,spam,0.00018375
ceas08:9396,ceas08,google/gemini-3.1-flash-lite,phishing,ph,4.975e-05
ceas08:6756,ceas08,google/gemini-3.1-flash-lite,spam,spam,6.55e-05
ceas08:5527,ceas08,google/gemini-3.1-flash-lite,spam,spam,5.575e-05
ceas08:5602,ceas08,google/gemini-3.1-flash-lite,spam,spam,0.0001815
ceas08:4852,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.475e-05
ceas08:8073,ceas08,google/gemini-3.1-flash-lite,phishing,ph,3.55e-05
ceas08:6450,ceas08,google/gemini-3.1-flash-lite,phishing,ph,5.15e-05
ceas08:8600,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.775e-05
ceas08:5924,ceas08,google/gemini-3.1-flash-lite,phishing,ph,4.6e-05
ceas08:4799,ceas08,google/gemini-3.1-flash-lite,spam,spam,9.125e-05
ceas08:7857,ceas08,google/gemini-3.1-flash-lite,spam,spam,0.0001785
ceas08:8683,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.45e-05
ceas08:4827,ceas08,google/gemini-3.1-flash-lite,spam,spam,5.525e-05
ceas08:6205,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.475e-05
ceas08:6655,ceas08,google/gemini-3.1-flash-lite,spam,spam,0.0001785
ceas08:6907,ceas08,google/gemini-3.1-flash-lite,spam,spam,5.025e-05
ceas08:6154,ceas08,google/gemini-3.1-flash-lite,spam,spam,4.575e-05
ceas08:8390,ceas08,google/gemini-3.1-flash-lite,spam,spam,4.2e-05
ceas08:5238,ceas08,google/gemini-3.1-flash-lite,spam,spam,5.25e-05
ceas08:5601,ceas08,google/gemini-3.1-flash-lite,spam,spam,0.0001815
ceas08:7388,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.6e-05
ceas08:7380,ceas08,google/gemini-3.1-flash-lite,spam,spam,5.025e-05
ceas08:5395,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.05e-05
ceas08:7022,ceas08,google/gemini-3.1-flash-lite,spam,spam,5.575e-05
ceas08:9007,ceas08,google/gemini-3.1-flash-lite,spam,spam,5.1e-05
ceas08:8964,ceas08,google/gemini-3.1-flash-lite,spam,spam,0.00018375
ceas08:5015,ceas08,google/gemini-3.1-flash-lite,phishing,ph,5.25e-05
ceas08:7890,ceas08,google/gemini-3.1-flash-lite,spam,spam,3.85e-05
ceas08:6214,ceas08,google/gemini-3.1-flash-lite,spam,spam,8.075e-05
ceas08:7037,ceas08,google/gemini-3.1-flash-lite,spam,spam,5.575e-05
trec07:5165,trec07,google/gemini-3.1-flash-lite,phishing,ph,8.175e-05
trec07:8154,trec07,google/gemini-3.1-flash-lite,spam,spam,6.975e-05
trec07:4573,trec07,google/gemini-3.1-flash-lite,spam,spam,0.00010225
trec07:7747,trec07,google/gemini-3.1-flash-lite,spam,spam,7.025e-05
trec07:4979,trec07,google/gemini-3.1-flash-lite,phishing,ph,7.75e-05
trec07:7946,trec07,google/gemini-3.1-flash-lite,spam,spam,9.7e-05
trec07:6775,trec07,google/gemini-3.1-flash-lite,phishing,ph,5.1e-05
trec07:5421,trec07,google/gemini-3.1-flash-lite,phishing,ph,5.15e-05
trec07:7579,trec07,google/gemini-3.1-flash-lite,spam,spam,3.2e-05
trec07:5973,trec07,google/gemini-3.1-flash-lite,spam,spam,4.9e-05
trec07:8126,trec07,google/gemini-3.1-flash-lite,spam,spam,3.225e-05
trec07:6157,trec07,google/gemini-3.1-flash-lite,spam,spam,9.95e-05
trec07:5509,trec07,google/gemini-3.1-flash-lite,spam,spam,3.35e-05
trec07:8833,trec07,google/gemini-3.1-flash-lite,spam,spam,7.375e-05
trec07:9537,trec07,google/gemini-3.1-flash-lite,spam,spam,2.9e-05
trec07:9021,trec07,google/gemini-3.1-flash-lite,phishing,ph,6.125e-05
trec07:7926,trec07,google/gemini-3.1-flash-lite,phishing,ph,7.65e-05
trec07:7901,trec07,google/gemini-3.1-flash-lite,spam,spam,0.00011425
trec07:8495,trec07,google/gemini-3.1-flash-lite,phishing,ph,5.45e-05
trec07:7819,trec07,google/gemini-3.1-flash-lite,spam,spam,7.625e-05
trec07:8373,trec07,google/gemini-3.1-flash-lite,phishing,ph,5.075e-05
trec07:9673,trec07,google/gemini-3.1-flash-lite,spam,spam,5.8e-05
trec07:7109,trec07,google/gemini-3.1-flash-lite,phishing,ph,3.975e-05
trec07:6083,trec07,google/gemini-3.1-flash-lite,spam,spam,6.675e-05
trec07:6123,trec07,google/gemini-3.1-flash-lite,spam,spam,8.025e-05
trec07:8730,trec07,google/gemini-3.1-flash-lite,spam,spam,8.45e-05
trec07:5443,trec07,google/gemini-3.1-flash-lite,spam,spam,9.825e-05
trec07:5340,trec07,google/gemini-3.1-flash-lite,spam,spam,5.775e-05
trec07:7071,trec07,google/gemini-3.1-flash-lite,spam,spam,0.00012675
