model,dataset,true_label,prediction,raw_answer
meta-llama/llama-3.2-3b-instruct,kaggle,0,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,0,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,0,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,0,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,0,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,0,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,0,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,0,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,0,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,0,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,0,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,0,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,1,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,1,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,0,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,0,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,1,phishing
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,spamassassin,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,1,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,1,phishing
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,nazario_enron,0,0,i cannot provide any information that could be
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,0,legitimate
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,1,1,phishing
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,kaggle,0,0,legitimate
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,kaggle,0,0,legitimate
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,kaggle,0,0,legitimate
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,kaggle,0,0,legitimate
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,kaggle,0,0,legitimate
google/gemma-3-12b-it,kaggle,0,0,legitimate
google/gemma-3-12b-it,kaggle,0,0,legitimate
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,kaggle,0,0,legitimate
google/gemma-3-12b-it,kaggle,0,0,legitimate
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,kaggle,0,0,legitimate
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,kaggle,0,0,legitimate
google/gemma-3-12b-it,kaggle,0,0,legitimate
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,kaggle,0,0,legitimate
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,kaggle,0,0,legitimate
google/gemma-3-12b-it,kaggle,0,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
google/gemma-3-12b-it,spamassassin,1,1,phishing
